Gene,RNA tissue specific nTPM,liver_nTPM_value,Tissue expression cluster,RNA tissue cell type enrichment,has_liver_nTPM,has_liver_cluster,has_liver_enrichment,Classification
DCK,bone marrow: 43.4;lymphoid tissue: 103.1,,Cluster 71: Thymus - Adaptive immune response,,False,False,False,non-liver protein
CAD,,,Cluster 66: Non-specific - Transcription,,False,False,False,non-liver protein
CALR,,,Cluster 53: Non-specific - Glycosylation,,False,False,False,non-liver protein
MAP4,brain: 872.8;skeletal muscle: 717.7,,Cluster 54: Non-specific - Basic cellular processes,Breast - Endothelial cells,False,False,False,non-liver protein
CANX,,,Cluster 43: Non-specific - Mitochondrial translation,"Testis - Spermatocytes, Testis - Spermatogonia, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
PIK3R1,,,Cluster 56: Non-specific - Unknown function,"Adrenal gland - Fibroblasts, Liver - Hepatocytes, Minor Salivary Gland - Minor salivary glandular cells",False,False,True,liver protein_3
AOAH,bone marrow: 42.8;lymphoid tissue: 63.2,,Cluster 70: Lymphoid tissue - Immune response,"Adrenal gland - Macrophages, Breast - T-cells, Lung - NK-cells (Lung), Prostate - T-cells, Spleen - Macrophages, Stomach - Macrophages, Thyroid gland - T-cells",False,False,False,non-liver protein
PSMB8,,,Cluster 47: Spleen - Immune response,"Breast - T-cells, Heart muscle - Endothelial cells, Skeletal muscle - Endothelial cells, Thyroid gland - T-cells",False,False,False,non-liver protein
PSMB9,lymphoid tissue: 157.0,,Cluster 47: Spleen - Immune response,Thyroid gland - T-cells,False,False,False,non-liver protein
PSMA5,,,Cluster 11: Liver - Plasma proteins,Stomach - Macrophages,False,True,False,liver protein_2
HLA-DMB,intestine: 76.6;lymphoid tissue: 99.1,,Cluster 47: Spleen - Immune response,"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Heart muscle - T-cells, Lung - Macrophages, Minor Salivary Gland - Macrophages, Spleen - B-cells (Spleen), Thyroid gland - T-cells",False,False,False,non-liver protein
PSMB4,,,Cluster 35: Non-specific - Mitochondria,,False,False,False,non-liver protein
PSMB6,,,Cluster 35: Non-specific - Mitochondria,Testis - Early spermatids,False,False,False,non-liver protein
PSMB5,,,Cluster 14: Skeletal muscle - Muscle contraction,,False,False,False,non-liver protein
GSTM2,,,Cluster 66: Non-specific - Transcription,Thyroid gland - Fibroblasts,False,False,False,non-liver protein
ABCD3,liver: 122.8,122.8,Cluster 37: Liver & Intestine - Lipid metabolism,"Adrenal gland - Adrenal cortex cells, Breast - Breast glandular cells, Lung - Alveolar cells type 2",True,True,False,liver protein (nTPM + cluster)
TMOD1,skeletal muscle: 241.2;tongue: 245.8,,Cluster 12: Heart muscle - Cardiac muscle contraction,"Adipose subcutaneous - Smooth muscle cells, Adrenal gland - Adrenal cortex cells, Prostate - Smooth muscle cells",False,False,False,non-liver protein
ITPRID2,pancreas: 170.3,,Cluster 48: Stomach - Proteolysis,Spleen - Endothelial cells,False,False,False,non-liver protein
ACADL,liver: 27.2;pancreas: 27.6,27.2,Cluster 68: Non-specific - Protein processing,"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Thyroid gland - Thyroid glandular cells",True,False,True,liver protein (nTPM + enrichment)
NDUFS1,heart muscle: 175.7;skeletal muscle: 213.7;tongue: 216.5,,Cluster 23: Non-specific - Cellular respiration,"Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes",False,False,True,liver protein_3
ADH6,liver: 682.3,682.3,Cluster 1: Liver & Kidney - Metabolism,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Respiratory ciliated cells",True,True,True,liver protein (all 3)
TEAD1,,,Cluster 62: Connective tissue - ECM organization,"Adipose subcutaneous - Adipocytes (Subcutaneous), Minor Salivary Gland - Endothelial cells, Prostate - Smooth muscle cells",False,False,False,non-liver protein
SMARCA1,,,Cluster 74: Spermatids - Flagellum assembly,"Adipose visceral - Adipose progenitor cells, Adrenal gland - Adrenal cortex cells, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
MAPK1,,,Cluster 61: Brain - Neuronal signaling,"Adrenal gland - Adrenal cortex cells, Skin - Keratinocyte (other), Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
GCA,bone marrow: 322.6,,Cluster 77: Bone marrow - Cell proliferation,"Liver - Neutrophils, Lung - Neutrophil_2, Spleen - Neutrophils",False,False,True,liver protein_3
RXRB,,,Cluster 66: Non-specific - Transcription,,False,False,False,non-liver protein
ERCC5,,,Cluster 55: Kidney & Intestine - Metabolism,,False,False,False,non-liver protein
GRN,,,Cluster 77: Bone marrow - Cell proliferation,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Colon - Macrophages, Lung - Macrophages, Minor Salivary Gland - Mitotic cells (Minor salivary gland), Spleen - Macrophages, Stomach - Macrophages",False,False,False,non-liver protein
PTPRM,,,Cluster 7: Adipose tissue - Mixed function,"Spleen - Endothelial cells, Stomach - Endothelial cells",False,False,False,non-liver protein
LAP3,,,Cluster 70: Lymphoid tissue - Immune response,,False,False,False,non-liver protein
HSD11B1,liver: 938.4,938.4,Cluster 83: Liver - Metabolism,"Colon - Fibroblasts, Kidney - Fibroblasts, Spleen - Fibroblast_1",True,True,False,liver protein (nTPM + cluster)
CD34,,,Cluster 7: Adipose tissue - Mixed function,"Breast - Fibroblasts, Pancreas - Endothelial cells, Prostate - Endothelial cells",False,False,False,non-liver protein
CD38,lymphoid tissue: 61.7,,Cluster 71: Thymus - Adaptive immune response,"Lung - Alveolar cells type 2, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes, Stomach - Macrophages",False,False,False,non-liver protein
GTF2E2,,,Cluster 46: Testis - Spermatogenesis,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adrenal gland - Adrenal cortex cells",False,False,False,non-liver protein
TPP2,,,Cluster 4: Testis - Basic cellular processes,Testis - Early spermatids,False,False,False,non-liver protein
IMPA1,,,Cluster 4: Testis - Basic cellular processes,"Adrenal gland - Adrenal cortex cells, Testis - Spermatocytes, Testis - Spermatogonia, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
PTPN6,bone marrow: 130.4;lymphoid tissue: 149.9,,Cluster 70: Lymphoid tissue - Immune response,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Skeletal muscle - Macrophages, Skin - Langerhans cells, Thyroid gland - T-cells",False,False,False,non-liver protein
SHC1,,,Cluster 62: Connective tissue - ECM organization,Adrenal gland - Neutrophils,False,False,False,non-liver protein
MPG,,,Cluster 43: Non-specific - Mitochondrial translation,,False,False,False,non-liver protein
ARID4A,,,Cluster 40: Non-specific - Transcription,Liver - Hepatocytes,False,False,True,liver protein_3
TKT,bone marrow: 659.6,,Cluster 77: Bone marrow - Cell proliferation,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Skin - Sebaceous gland cells",False,False,False,non-liver protein
CASP1,intestine: 125.9;lymphoid tissue: 88.5,,Cluster 25: Small intestine - Absorption,Thyroid gland - T-cells,False,False,False,non-liver protein
NOS3,lymphoid tissue: 60.9,,Cluster 47: Spleen - Immune response,"Adrenal gland - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Minor Salivary Gland - Endothelial cells, Pituitary gland - Endothelial cells, Prostate - Endothelial cells, Testis - Late spermatids",False,False,True,liver protein_3
SERPINB3,cervix: 406.9;esophagus: 783.4;vagina: 649.5,,Cluster 29: Squamous epithelium - Innate immune response,"Lung - Respiratory ciliated cells, Prostate - Urothelial cells, Testis - Early spermatids, Testis - Late spermatids",False,False,False,non-liver protein
LMOD1,intestine: 496.6,,Cluster 41: Smooth muscle tissue - ECM organization,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Heart muscle - Smooth muscle cells, Kidney - Fibroblasts, Lung - Smooth muscle cells, Minor Salivary Gland - Smooth muscle cells, Pituitary gland - Smooth muscle cells, Prostate - Smooth muscle cells, Thyroid gland - Smooth muscle cells",False,False,False,non-liver protein
RBMS1,,,Cluster 62: Connective tissue - ECM organization,Kidney - Endothelial cells,False,False,False,non-liver protein
PML,,,Cluster 7: Adipose tissue - Mixed function,"Adipose subcutaneous - Endothelial cells, Breast - Endothelial cells, Heart muscle - Endothelial cells, Skeletal muscle - Endothelial cells",False,False,False,non-liver protein
SERPINA4,liver: 533.2,533.2,Cluster 83: Liver - Metabolism,"Liver - Hepatocytes, Stomach - Parietal cells",True,True,True,liver protein (all 3)
EEF1D,,,Cluster 18: Non-specific - Ribosome,Testis - Late spermatids,False,False,False,non-liver protein
OAS2,salivary gland: 65.5,,Cluster 70: Lymphoid tissue - Immune response,,False,False,False,non-liver protein
MARCKS,,,Cluster 33: Brain - Neuronal signaling,"Adrenal gland - Endothelial cells, Spleen - Fibroblast_1, Thyroid gland - Fibroblasts",False,False,False,non-liver protein
AQP1,choroid plexus: 786.7,,Cluster 60: Choroid plexus - Transmembrane transport,"Minor Salivary Gland - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Testis - Endothelial cells",False,False,False,non-liver protein
ALDH4A1,kidney: 193.4;liver: 426.0,426.0,Cluster 1: Liver & Kidney - Metabolism,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes",True,True,True,liver protein (all 3)
PBLD,intestine: 166.0;kidney: 260.0;liver: 324.3,324.3,Cluster 55: Kidney & Intestine - Metabolism,"Adrenal gland - Adrenal cortex cells, Kidney - Proximal tubular cells, Liver - Hepatocytes",True,False,True,liver protein (nTPM + enrichment)
ERP29,,,Cluster 68: Non-specific - Protein processing,"Adipose visceral - Adipose progenitor cells, Adrenal gland - Adrenal cortex cells, Minor Salivary Gland - Minor salivary glandular cells, Skin - Keratinocyte (other), Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
PRDX6,,,Cluster 35: Non-specific - Mitochondria,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast)",False,False,False,non-liver protein
BLVRB,bone marrow: 615.8,,Cluster 40: Non-specific - Transcription,"Adipose subcutaneous - Macrophages, Spleen - Macrophages",False,False,False,non-liver protein
PRDX5,choroid plexus: 1360.4,,Cluster 23: Non-specific - Cellular respiration,"Heart muscle - Cardiomyocytes, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
DDT,liver: 815.7,815.7,Cluster 83: Liver - Metabolism,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral)",True,True,False,liver protein (nTPM + cluster)
GCHFR,liver: 341.6,341.6,Cluster 1: Liver & Kidney - Metabolism,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Lung - Macrophages",True,True,False,liver protein (nTPM + cluster)
PRDX3,,,Cluster 1: Liver & Kidney - Metabolism,"Adrenal gland - Adrenal cortex cells, Colon - Smooth muscle cells, Liver - Hepatocytes, Thyroid gland - Thyroid glandular cells",False,True,True,liver protein (cluster + enrichment)
ATP5F1D,skeletal muscle: 777.9,,Cluster 23: Non-specific - Cellular respiration,Heart muscle - Cardiomyocytes,False,False,False,non-liver protein
RPL12,,,Cluster 18: Non-specific - Ribosome,Spleen - B-cells (Spleen),False,False,False,non-liver protein
ECHS1,liver: 1093.7,1093.7,Cluster 1: Liver & Kidney - Metabolism,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Testis - Sertoli cells, Thyroid gland - Thyroid glandular cells",True,True,True,liver protein (all 3)
CMPK1,,,Cluster 48: Stomach - Proteolysis,"Liver - Hepatocytes, Thyroid gland - Thyroid glandular cells",False,False,True,liver protein_3
PEBP1,liver: 2019.1,2019.1,Cluster 26: Adrenal gland - Steroid metabolism,"Adipose visceral - Adipocytes (Visceral), Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Thyroid gland - Thyroid glandular cells",True,False,True,liver protein (nTPM + enrichment)
PDIA3,thyroid gland: 302.7,,Cluster 51: Thyroid gland - Unknown function,Thyroid gland - Thyroid glandular cells,False,False,False,non-liver protein
PPP2R1A,,,Cluster 23: Non-specific - Cellular respiration,"Adrenal gland - Adrenal cortex cells, Colon - Smooth muscle cells, Skin - Keratinocyte (other), Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
PPP2R1B,liver: 166.5,166.5,Cluster 83: Liver - Metabolism,"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Testis - Early spermatids",True,True,False,liver protein (nTPM + cluster)
CDC27,,,Cluster 16: Non-specific - Transcription,Testis - Spermatocytes,False,False,False,non-liver protein
FCER1G,bone marrow: 436.7;lymphoid tissue: 458.8,,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Adrenal gland - Macrophages, Breast - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Kidney - Macrophages, Minor Salivary Gland - Macrophages, Pancreas - Macrophages, Pituitary gland - Macrophages, Prostate - Macrophages, Skeletal muscle - Macrophages, Stomach - Macrophages, Thyroid gland - Macrophages",False,False,False,non-liver protein
PPIF,,,Cluster 35: Non-specific - Mitochondria,"Heart muscle - Cardiomyocytes, Skin - Keratinocyte (granular), Stomach - Gastric mucous cells, Testis - Sertoli cells",False,False,False,non-liver protein
NMT1,,,Cluster 35: Non-specific - Mitochondria,,False,False,False,non-liver protein
HLA-F,lymphoid tissue: 183.8,,Cluster 47: Spleen - Immune response,"Adipose visceral - T-cells, Lung - NK-cells (Lung), Prostate - T-cells, Thyroid gland - T-cells",False,False,False,non-liver protein
HMOX2,,,Cluster 44: Testis - Spermatogenesis,Testis - Late spermatids,False,False,False,non-liver protein
ADSS2,,,Cluster 67: Lymphoid tissue & Bone marrow - Cell proliferation,Testis - Early spermatids,False,False,False,non-liver protein
SLC6A1,brain: 107.9;liver: 85.4;retina: 36.1,85.4,Cluster 61: Brain - Neuronal signaling,"Liver - Hepatocytes, Pituitary gland - Fibroblasts",True,False,True,liver protein (nTPM + enrichment)
LRPAP1,,,Cluster 43: Non-specific - Mitochondrial translation,"Lung - Macrophages, Minor Salivary Gland - Minor salivary glandular cells, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
TSPO,esophagus: 670.8,,Cluster 27: Squamous epithelium - Keratinization,"Adipose visceral - Adipocytes (Visceral), Lung - Macrophages, Spleen - Neutrophils",False,False,False,non-liver protein
AGTR1,liver: 93.7;placenta: 137.0,93.7,Cluster 11: Liver - Plasma proteins,Adrenal gland - Adrenal cortex cells,True,True,False,liver protein (nTPM + cluster)
ADSL,skeletal muscle: 333.1;tongue: 233.1,,Cluster 2: Skeletal muscle - Striated muscle contraction,"Minor Salivary Gland - Endothelial cells, Testis - Spermatocytes, Testis - Spermatogonia",False,False,False,non-liver protein
PKLR,bone marrow: 19.3;kidney: 24.2;liver: 89.7,89.7,Cluster 1: Liver & Kidney - Metabolism,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Sebaceous gland cells, Testis - Late spermatids",True,True,True,liver protein (all 3)
CLIP1,tongue: 162.3,,Cluster 19: Non-specific - Basic cellular processes,"Adrenal gland - Adrenal cortex cells, Testis - Early spermatids",False,False,False,non-liver protein
SRI,intestine: 546.4,,Cluster 45: Intestine - Digestion,Thyroid gland - Thyroid glandular cells,False,False,False,non-liver protein
GSTT1,,,,,False,False,False,non-liver protein
SERPINB1,bone marrow: 461.5;esophagus: 464.9,,Cluster 77: Bone marrow - Cell proliferation,"Kidney - Endothelial cells, Spleen - Neutrophils",False,False,False,non-liver protein
GCH1,bone marrow: 31.0;liver: 35.8,35.8,Cluster 77: Bone marrow - Cell proliferation,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells",True,False,False,liver protein_1
ALDH1B1,liver: 167.4;smooth muscle: 123.2,167.4,Cluster 1: Liver & Kidney - Metabolism,"Adipose subcutaneous - Smooth muscle cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Smooth muscle cells, Skin - Smooth muscle cells, Spleen - Smooth muscle cells, Testis - Sertoli cells",True,True,True,liver protein (all 3)
ALDH3A1,esophagus: 482.2;salivary gland: 124.2;stomach 1: 218.9,,Cluster 29: Squamous epithelium - Innate immune response,"Lung - Respiratory ciliated cells, Skin - Keratinocyte (other), Stomach - Gastric mucous cells, Testis - Spermatogonia",False,False,False,non-liver protein
POLR2B,,,Cluster 35: Non-specific - Mitochondria,"Adrenal gland - Adrenal cortex cells, Testis - Spermatocytes, Testis - Spermatogonia",False,False,False,non-liver protein
SDHA,heart muscle: 554.8;skeletal muscle: 459.9,,Cluster 23: Non-specific - Cellular respiration,"Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Heart muscle - Cardiomyocytes, Liver - Hepatocytes",False,False,True,liver protein_3
CORO1A,bone marrow: 549.8;lymphoid tissue: 567.8,,Cluster 70: Lymphoid tissue - Immune response,"Adipose subcutaneous - Macrophages, Adrenal gland - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Lung - Neutrophil_2, Skeletal muscle - Macrophages, Stomach - Macrophages, Testis - Macrophages",False,False,False,non-liver protein
GDI1,brain: 456.4,,Cluster 65: Cerebellum - Nervous system development,,False,False,False,non-liver protein
MAT2A,pancreas: 847.7,,Cluster 15: Pancreas - Proteolysis,Thyroid gland - Thyroid glandular cells,False,False,False,non-liver protein
SRD5A2,epididymis: 23.0;fallopian tube: 19.8;liver: 59.0;prostate: 16.2;seminal vesicle: 17.4,59.0,Cluster 53: Non-specific - Glycosylation,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids",True,False,True,liver protein (nTPM + enrichment)
PRKAR2B,adipose tissue: 164.0,,Cluster 7: Adipose tissue - Mixed function,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatic stellate cells, Prostate - Fibroblasts",False,False,True,liver protein_3
CPS1,liver: 1031.6,1031.6,Cluster 83: Liver - Metabolism,"Testis - Early spermatids, Testis - Late spermatids",True,True,False,liver protein (nTPM + cluster)
SDC4,liver: 398.7,398.7,Cluster 37: Liver & Intestine - Lipid metabolism,"Lung - Alveolar cells type 2, Pancreas - Ductal cells, Spleen - Fibroblast_2, Testis - Sertoli cells",True,True,False,liver protein (nTPM + cluster)
FMO4,kidney: 46.8;liver: 59.4,59.4,Cluster 1: Liver & Kidney - Metabolism,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Thyroid gland - Fibroblasts",True,True,True,liver protein (all 3)
FMO3,liver: 1088.9,1088.9,Cluster 31: Liver - Plasma proteins,"Colon - Endothelial cells, Liver - Hepatocytes, Lung - Fibroblast_1, Spleen - Fibroblast_2",True,True,True,liver protein (all 3)
DNAJA1,,,Cluster 5: Brain & Testis - Signal transduction,"Testis - Early spermatids, Testis - Spermatocytes",False,False,False,non-liver protein
AKT1,,,Cluster 43: Non-specific - Mitochondrial translation,"Pituitary gland - Endothelial cells, Spleen - Endothelial cells",False,False,False,non-liver protein
AKT2,,,Cluster 19: Non-specific - Basic cellular processes,"Adipose subcutaneous - Adipocytes (Subcutaneous), Minor Salivary Gland - Endothelial cells, Testis - Sertoli cells",False,False,False,non-liver protein
UQCRC1,skeletal muscle: 739.4;tongue: 849.8,,Cluster 35: Non-specific - Mitochondria,"Adipose visceral - Adipocytes (Visceral), Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids",False,False,True,liver protein_3
HIBADH,,,Cluster 1: Liver & Kidney - Metabolism,"Adrenal gland - Adrenal cortex cells, Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Thyroid gland - Thyroid glandular cells",False,True,True,liver protein (cluster + enrichment)
ATIC,,,Cluster 35: Non-specific - Mitochondria,,False,False,False,non-liver protein
HNRNPH3,,,Cluster 9: Oligodendrocytes - Myelination,,False,False,False,non-liver protein
HNRNPH1,,,Cluster 40: Non-specific - Transcription,,False,False,False,non-liver protein
CASP14,skin 1: 473.0,,Cluster 13: Skin - Cornification,"Skin - Keratinocyte (other), Testis - Late spermatids",False,False,False,non-liver protein
YWHAB,,,Cluster 61: Brain - Neuronal signaling,Adrenal gland - Adrenal cortex cells,False,False,False,non-liver protein
SFN,esophagus: 2392.4;skin 1: 1181.2;vagina: 671.2,,Cluster 27: Squamous epithelium - Keratinization,"Colon - Colon enterocytes, Stomach - Gastric mucous cells",False,False,False,non-liver protein
STIP1,,,Cluster 54: Non-specific - Basic cellular processes,"Adrenal gland - Adrenal cortex cells, Testis - Early spermatids",False,False,False,non-liver protein
S100A11,esophagus: 4618.3,,Cluster 29: Squamous epithelium - Innate immune response,"Adipose subcutaneous - Macrophages, Adrenal gland - Neutrophils, Spleen - Neutrophils",False,False,False,non-liver protein
FCGR2B,placenta: 389.2,,Cluster 58: Placenta - Pregnancy,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Adrenal gland - Macrophages, Breast - Macrophages, Liver - Sinusoid Endothelial cells, Minor Salivary Gland - Macrophages, Skeletal muscle - Macrophages, Spleen - B-cells (Spleen), Testis - Macrophages, Thyroid gland - Macrophages",False,False,True,liver protein_3
L1CAM,brain: 137.1;intestine: 46.9,,Cluster 65: Cerebellum - Nervous system development,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Enteric glia cells",False,False,False,non-liver protein
PRDX2,,,Cluster 23: Non-specific - Cellular respiration,"Adipose visceral - Adipocytes (Visceral), Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Pituitary gland - Gonadotropes, Thyroid gland - Thyroid glandular cells",False,False,True,liver protein_3
ARRB2,bone marrow: 260.6;lymphoid tissue: 164.3,,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Adrenal gland - Macrophages, Breast - Macrophages, Lung - Neutrophil_2, Minor Salivary Gland - Macrophages, Skeletal muscle - Macrophages, Spleen - Neutrophils",False,False,False,non-liver protein
GK,intestine: 85.0;kidney: 101.6;liver: 69.4,69.4,Cluster 55: Kidney & Intestine - Metabolism,"Adrenal gland - Adrenal cortex cells, Kidney - Proximal tubular cells, Minor Salivary Gland - Minor salivary glandular cells, Spleen - Neutrophils, Testis - Early spermatids, Testis - Late spermatids",True,False,False,liver protein_1
CDA,bone marrow: 191.4;esophagus: 84.6;liver: 84.0,84.0,Cluster 77: Bone marrow - Cell proliferation,"Lung - Neutrophil_2, Prostate - Endothelial cells, Spleen - Neutrophils",True,False,False,liver protein_1
DCTD,,,Cluster 26: Adrenal gland - Steroid metabolism,"Adipose visceral - Adipose progenitor cells, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
GBP1,liver: 85.5,85.5,Cluster 11: Liver - Plasma proteins,Lung - NK-cells (Lung),True,True,False,liver protein (nTPM + cluster)
GBP2,,,Cluster 41: Smooth muscle tissue - ECM organization,"Adrenal gland - Adrenal cortex cells, Skin - Keratinocyte (other)",False,False,False,non-liver protein
HPD,liver: 2452.6,2452.6,Cluster 1: Liver & Kidney - Metabolism,"Breast - Fibroblasts, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Smooth muscle cells, Spleen - Fibroblast_2, Testis - Late spermatids",True,True,True,liver protein (all 3)
GTF2H1,,,Cluster 78: Testis - Transcription,"Adrenal gland - Adrenal cortex cells, Testis - Early spermatids",False,False,False,non-liver protein
STX2,,,Cluster 34: Non-specific - Mixed function,"Breast - Endothelial cells, Minor Salivary Gland - Endothelial cells, Skin - Endothelial cells, Testis - Early spermatids",False,False,False,non-liver protein
CTH,liver: 119.2;ovary: 33.3,119.2,Cluster 83: Liver - Metabolism,"Minor Salivary Gland - Minor salivary glandular cells, Thyroid gland - Thyroid glandular cells",True,True,False,liver protein (nTPM + cluster)
ICAM3,bone marrow: 175.2;lymphoid tissue: 76.1,,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,"Adipose subcutaneous - T-cells, Adipose visceral - Neutrophils, Heart muscle - Neutrophils, Kidney - T-cells, Lung - Neutrophil_2, Minor Salivary Gland - Plasma cells, Pituitary gland - T-cells, Prostate - T-cells, Spleen - Neutrophils",False,False,False,non-liver protein
RPL9,,,Cluster 18: Non-specific - Ribosome,,False,False,False,non-liver protein
ACSL1,adipose tissue: 699.7;liver: 1108.8;skeletal muscle: 705.7,1108.8,Cluster 19: Non-specific - Basic cellular processes,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes, Lung - Neutrophil_2, Prostate - Prostate glandular cells, Skin - Sebaceous gland cells, Spleen - Neutrophils, Testis - Early spermatids, Testis - Late spermatids",True,False,True,liver protein (nTPM + enrichment)
CDH5,placenta: 228.1,,Cluster 7: Adipose tissue - Mixed function,"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Adrenal gland - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Lung - Endothelial cells, Minor Salivary Gland - Endothelial cells, Pancreas - Endothelial cells, Prostate - Endothelial cells, Stomach - Endothelial cells, Thyroid gland - Endothelial cells",False,False,True,liver protein_3
KIF5B,,,Cluster 9: Oligodendrocytes - Myelination,"Testis - Early spermatids, Testis - Spermatocytes",False,False,False,non-liver protein
CSTF2,,,Cluster 67: Lymphoid tissue & Bone marrow - Cell proliferation,,False,False,False,non-liver protein
LSP1,adrenal gland: 217.7;lymphoid tissue: 239.1,,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,"Adipose subcutaneous - Adipose progenitor cells, Heart muscle - Fibroblasts, Skin - Keratinocyte (other), Stomach - Fibroblasts",False,False,False,non-liver protein
CYP2C18,intestine: 99.8;liver: 191.1;stomach 1: 65.5,191.1,Cluster 37: Liver & Intestine - Lipid metabolism,"Colon - Colon enterocytes, Liver - Hepatocytes, Minor Salivary Gland - Minor salivary gland basal cells, Pancreas - Ductal cells, Stomach - Gastric mucous cells",True,True,True,liver protein (all 3)
CYP2C19,liver: 184.6,184.6,Cluster 83: Liver - Metabolism,"Liver - Hepatocytes, Pancreas - Ductal cells, Stomach - Gastric mucous cells",True,True,True,liver protein (all 3)
DUT,,,Cluster 40: Non-specific - Transcription,,False,False,False,non-liver protein
ABCD1,,,Cluster 68: Non-specific - Protein processing,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Breast - Adipocytes (Breast), Testis - Sertoli cells",False,False,False,non-liver protein
MAN1A1,liver: 150.0,150.0,Cluster 11: Liver - Plasma proteins,"Liver - Hepatocytes, Minor Salivary Gland - Macrophages",True,True,True,liver protein (all 3)
